date,net_bps,n_positions,is_active
2021-01-01,0.0,0.0,False
2021-01-02,0.0,0.0,False
2021-01-03,0.0,0.0,False
2021-01-04,0.0,0.0,False
2021-01-05,0.0,0.0,False
2021-01-06,0.0,0.0,False
2021-01-07,0.0,0.0,False
2021-01-08,0.0,0.0,False
2021-01-09,0.0,0.0,False
2021-01-10,0.0,0.0,False
2021-01-11,0.0,0.0,False
2021-01-12,0.0,0.0,False
2021-01-13,0.0,0.0,False
2021-01-14,0.0,0.0,False
2021-01-15,0.0,0.0,False
2021-01-16,0.0,0.0,False
2021-01-17,0.0,0.0,False
2021-01-18,0.0,0.0,False
2021-01-19,0.0,0.0,False
2021-01-20,0.0,0.0,False
2021-01-21,0.0,0.0,False
2021-01-22,-391.8494422629357,2.0,True
2021-01-23,-1062.1304591481294,2.0,True
2021-01-24,1333.936542016548,2.0,True
2021-01-25,-976.5734441994298,2.0,True
2021-01-26,826.4019201715864,2.0,True
2021-01-27,-825.0899507103268,2.0,True
2021-01-28,-663.3650978003661,2.0,True
2021-01-29,-2171.1908703942836,2.0,True
2021-01-30,-219.61394806198496,2.0,True
2021-01-31,-25.778085729974748,2.0,True
2021-02-01,-309.89431595156634,2.0,True
2021-02-02,-764.7614733786943,2.0,True
2021-02-03,-398.50929953263926,2.0,True
2021-02-04,-1062.5698297239414,2.0,True
2021-02-05,730.1402858856445,2.0,True
2021-02-06,323.4281264960073,2.0,True
2021-02-07,-1741.2905903779417,2.0,True
2021-02-08,338.4357689087588,2.0,True
2021-02-09,-51.75480994708359,2.0,True
2021-02-10,734.8488204577433,2.0,True
2021-02-11,77.11009320054941,2.0,True
2021-02-12,-479.0759784572294,2.0,True
2021-02-13,649.6287674723741,2.0,True
2021-02-14,764.5090783197542,2.0,True
2021-02-15,-592.4971748159234,2.0,True
2021-02-16,-1566.3635670113495,2.0,True
2021-02-17,-1226.2025668280528,2.0,True
2021-02-18,256.8180951666312,2.0,True
2021-02-19,1355.1240891639623,2.0,True
2021-02-20,-153.12914404343212,2.0,True
2021-02-21,369.6409526724123,2.0,True
2021-02-22,1115.226127964715,2.0,True
2021-02-23,345.2241046232299,2.0,True
2021-02-24,1434.4675408191256,2.0,True
2021-02-25,-628.5498824799832,2.0,True
2021-02-26,-756.3749429079734,2.0,True
2021-02-27,698.5320416819293,2.0,True
2021-02-28,-465.29054103671945,2.0,True
2021-03-01,-383.1384856985268,2.0,True
2021-03-02,-2859.801209652556,2.0,True
2021-03-03,-67.8084085949663,2.0,True
2021-03-04,-356.2822063969798,2.0,True
2021-03-05,-710.3552409741185,2.0,True
2021-03-06,-139.66216861144053,2.0,True
2021-03-07,-4698.141780348459,2.0,True
2021-03-08,-614.1449551937537,2.0,True
2021-03-09,464.3939297052715,2.0,True
2021-03-10,-1438.5791079105368,2.0,True
2021-03-11,-1864.0900934018125,2.0,True
